id,name,description,category,image_url,location
midnight-library,Midnight Library,A thoughtful book review for a quiet fantasy novel with warm world-building,Book,https://picsum.photos/seed/midnight-library/800/600,Local Library
neon-morning,Neon Morning,A bright review of a lively coming-of-age film with strong soundtrack,Movie,https://picsum.photos/seed/neon-morning/800/600,Streaming Service
paper-trail,Paper Trail,A short review of a memoir that feels honest and easy to read,Book,https://picsum.photos/seed/paper-trail/800/600,Bookshelf
city-lights,City Lights,A review of a modern drama film that focuses on friendship and change,Movie,https://picsum.photos/seed/city-lights/800/600,Indie Theater
summer-guest,Summer Guest,A cozy review of a beach novel with gentle humor and relatable characters,Book,https://picsum.photos/seed/summer-guest/800/600,Beach House
after-dark,After Dark,A review of a suspense thriller movie that keeps you guessing until the end,Movie,https://picsum.photos/seed/after-dark/800/600,Weekend Watchlist
hidden-maps,Hidden Maps,A review of a science fiction book with clever puzzles and calm pacing,Book,https://picsum.photos/seed/hidden-maps/800/600,Reading Nook
quiet-frames,Quiet Frames,A review of an art-house film with slow scenes and strong visuals,Movie,https://picsum.photos/seed/quiet-frames/800/600,Cinema Club
novel-lane,Novel Lane,A review of a warm family story book with charming small-town details,Book,https://picsum.photos/seed/novel-lane/800/600,Community Shelf
first-screen,First Screen,A review of a feel-good movie with a clear message and memorable moments,Movie,https://picsum.photos/seed/first-screen/800/600,Friends' Picks
